year,area,gear,effort,fleet,area.n,gear.n,licenses
1996,A,Seine,9.153424657534247,NA,1,1,NA
1996,B,Seine,2.073972602739726,NA,2,1,NA
1996,C,Gillnet,62.73972602739726,NA,3,3,NA
1996,D,Gillnet,2.4,NA,4,3,NA
1996,E,Gillnet,4.632876712328767,NA,5,3,NA
1996,F,Troll,21.578082191780823,NA,6,2,NA
1996,G,Troll,35.33972602739726,NA,7,2,NA
1996,H,Troll,0.8821917808219178,NA,8,2,NA
1997,A,Seine,5.917808219178082,NA,1,1,NA
1997,B,Seine,9.331506849315069,NA,2,1,NA
1997,C,Gillnet,42.087671232876716,NA,3,3,NA
1997,D,Gillnet,17.46027397260274,NA,4,3,NA
1997,E,Gillnet,5.701369863013699,NA,5,3,NA
1997,F,Troll,30.56164383561644,NA,6,2,NA
1997,G,Troll,2.786301369863014,NA,7,2,NA
1997,H,Troll,3.452054794520548,NA,8,2,NA
1998,A,Seine,4.86027397260274,NA,1,1,135
1998,B,Seine,3.3753424657534246,NA,2,1,224
1998,C,Gillnet,19.561643835616437,NA,3,3,875
1998,D,Gillnet,6.375342465753425,NA,4,3,319
1998,E,Gillnet,4.7534246575342465,NA,5,3,577
1998,F,Troll,16.663013698630138,NA,6,2,240
1998,G,Troll,6.6136986301369864,NA,7,2,335
1998,H,Troll,3.345205479452055,NA,8,2,176
1999,A,Seine,6.002739726027397,NA,1,1,108
1999,C,Gillnet,23.53150684931507,NA,3,3,730
1999,D,Gillnet,5.405479452054794,NA,4,3,250
1999,E,Gillnet,5.994520547945205,NA,5,3,425
1999,F,Troll,5.273972602739726,NA,6,2,172
1999,G,Troll,4.235616438356164,NA,7,2,251
1999,H,Troll,0.589041095890411,NA,8,2,120
2000,A,Seine,5.145205479452055,NA,1,1,108
2000,B,Seine,1.56986301369863,NA,2,1,168
2000,C,Gillnet,33.46027397260274,NA,3,3,715
2000,D,Gillnet,6.041095890410959,NA,4,3,284
2000,E,Gillnet,7.361643835616438,NA,5,3,403
2000,F,Troll,2.4712328767123286,NA,6,2,147
2000,G,Troll,6.46027397260274,NA,7,2,239
2000,H,Troll,3.4575342465753423,NA,8,2,155
2001,A,Seine,4.747945205479452,NA,1,1,109
2001,B,Seine,1.5041095890410958,NA,2,1,167
2001,C,Gillnet,35.654794520547945,NA,3,3,714
2001,D,Gillnet,7.041095890410959,NA,4,3,283
2001,E,Gillnet,2.506849315068493,NA,5,3,406
2001,F,Troll,4.378082191780822,NA,6,2,143
2001,G,Troll,8.038356164383561,NA,7,2,239
2001,H,Troll,2.947945205479452,NA,8,2,156
2002,A,Seine,4.293150684931507,NA,1,1,109
2002,B,Seine,2.723287671232877,NA,2,1,167
2002,C,Gillnet,35.035616438356165,NA,3,3,713
2002,D,Gillnet,8.704109589041096,NA,4,3,286
2002,E,Gillnet,6.55068493150685,NA,5,3,406
2002,F,Troll,12.065753424657535,NA,6,2,150
2002,G,Troll,12.967123287671233,NA,7,2,236
2002,H,Troll,3.6054794520547944,NA,8,2,152
2003,A,Seine,3.4657534246575343,NA,1,1,109
2003,B,Seine,2.197260273972603,NA,2,1,167
2003,C,Gillnet,33.15068493150685,NA,3,3,713
2003,D,Gillnet,12.512328767123288,NA,4,3,287
2003,E,Gillnet,4.947945205479452,NA,5,3,405
2003,F,Troll,14.18904109589041,NA,6,2,155
2003,G,Troll,9.473972602739726,NA,7,2,232
2003,H,Troll,5.4301369863013695,NA,8,2,151
2004,A,Seine,4.30958904109589,NA,1,1,109
2004,B,Seine,1.7726027397260273,NA,2,1,166
2004,C,Gillnet,33.28219178082192,NA,3,3,718
2004,D,Gillnet,9.668493150684931,NA,4,3,290
2004,E,Gillnet,5.66027397260274,NA,5,3,398
2004,F,Troll,15.084931506849315,NA,6,2,160
2004,G,Troll,9.26027397260274,NA,7,2,232
2004,H,Troll,4.010958904109589,NA,8,2,146
2005,A,Seine,3.632876712328767,217,1,1,110
2005,B,Seine,1.6191780821917807,249,2,1,166
2005,C,Gillnet,22.39178082191781,1152,3,3,721
2005,D,Gillnet,7.087671232876713,450,4,3,294
2005,E,Gillnet,3.3726027397260276,299,5,3,391
2005,F,Troll,15.857534246575343,359,6,2,168
2005,G,Troll,13.378082191780821,509,7,2,227
2005,H,Troll,2.0657534246575344,113,8,2,143
2006,A,Seine,3.0383561643835617,180,1,1,111
2006,B,Seine,2.0493150684931507,323,2,1,165
2006,C,Gillnet,32.865753424657534,1242,3,3,699
2006,D,Gillnet,15.553424657534247,788,4,3,331
2006,E,Gillnet,7.72054794520548,449,5,3,376
2006,F,Troll,15.520547945205479,394,6,2,246
2006,G,Troll,13.331506849315069,519,7,2,169
2006,H,Troll,3.813698630136986,197,8,2,123
2007,A,Seine,3.758904109589041,256,1,1,108
2007,B,Seine,0.8657534246575342,151,2,1,168
2007,C,Gillnet,18.189041095890413,1059,3,3,658
2007,D,Gillnet,6.131506849315069,447,4,3,355
2007,E,Gillnet,2.841095890410959,353,5,3,393
2007,F,Troll,12.197260273972603,360,6,2,284
2007,G,Troll,9.895890410958904,280,7,2,165
2007,H,Troll,1.2958904109589042,69,8,2,89
2008,A,Seine,1.0273972602739727,101,1,1,108
2008,B,Seine,0.8027397260273973,131,2,1,168
2008,C,Gillnet,12.506849315068493,731,3,3,658
2008,D,Gillnet,4.947945205479452,396,4,3,355
2008,E,Gillnet,1.6246575342465754,347,5,3,393
2008,F,Troll,11.775342465753425,307,6,2,284
2008,G,Troll,9.09041095890411,276,7,2,165
2008,H,Troll,0.989041095890411,51,8,2,89
2009,A,Seine,2.5452054794520547,152,1,1,108
2009,B,Seine,1.210958904109589,170,2,1,168
2009,C,Gillnet,9.347945205479451,707,3,3,658
2009,D,Gillnet,5.947945205479452,492,4,3,355
2009,E,Gillnet,1.032876712328767,267,5,3,393
2009,F,Troll,14.586301369863014,364,6,2,284
2009,G,Troll,7.065753424657534,257,7,2,164
2009,H,Troll,1.1972602739726026,48,8,2,90
2010,A,Seine,0.2054794520547945,50,1,1,108
2010,B,Seine,2.684931506849315,284,2,1,168
2010,C,Gillnet,6.21095890410959,594,3,3,654
2010,D,Gillnet,17.18904109589041,501,4,3,362
2010,E,Gillnet,8.046575342465754,308,5,3,390
2010,F,Troll,13.583561643835615,382,6,2,283
2010,G,Troll,5.704109589041096,243,7,2,165
2010,H,Troll,3.5726027397260274,122,8,2,90
2011,A,Seine,1.5068493150684932,183,1,1,108
2011,B,Seine,3.9205479452054797,295,2,1,168
2011,C,Gillnet,10.712328767123287,790,3,3,640
2011,D,Gillnet,12.36986301369863,587,4,3,375
2011,E,Gillnet,5.3342465753424655,371,5,3,391
2011,F,Troll,9.863013698630137,316,6,2,282
2011,G,Troll,10.101369863013698,300,7,2,165
2011,H,Troll,1.5863013698630137,60,8,2,91
2012,A,Seine,1.191780821917808,130,1,1,108
2012,B,Seine,1.367123287671233,193,2,1,168
2012,C,Gillnet,11.194520547945205,934,3,3,638
2012,D,Gillnet,8.035616438356165,522,4,3,378
2012,E,Gillnet,1.8465753424657534,299,5,3,390
2012,F,Troll,14.961643835616439,395,6,2,266
2012,G,Troll,4.446575342465754,215,7,2,147
2012,H,Troll,0.6794520547945205,27,8,2,83
2013,A,Seine,2.484931506849315,161,1,1,108
2013,B,Seine,1.726027397260274,203,2,1,168
2013,C,Gillnet,12.435616438356165,649,3,3,633
2013,D,Gillnet,5.126027397260274,412,4,3,377
2013,E,Gillnet,1.0712328767123287,273,5,3,387
2013,F,Troll,14.068493150684931,385,6,2,241
2013,G,Troll,3.5123287671232877,214,7,2,124
2013,H,Troll,0.5589041095890411,18,8,2,74
2014,A,Seine,1.8054794520547945,169,1,1,107
2014,B,Seine,3.7260273972602738,290,2,1,168
2014,C,Gillnet,14.627397260273973,742,3,3,629
2014,D,Gillnet,28.410958904109588,599,4,3,379
2014,E,Gillnet,9.194520547945206,389,5,3,392
2014,F,Troll,14.084931506849315,327,6,2,230
2014,G,Troll,9.246575342465754,276,7,2,120
2014,H,Troll,2.8547945205479452,89,8,2,76
2015,A,Seine,1.7808219178082192,186,1,1,107
2015,B,Seine,1.1972602739726028,254,2,1,167
2015,C,Gillnet,13.772602739726027,778,3,3,627
2015,D,Gillnet,7.468493150684932,495,4,3,379
2015,E,Gillnet,2.7041095890410958,447,5,3,390
2015,F,Troll,10.054794520547945,299,6,2,238
2015,G,Troll,6.249315068493151,199,7,2,119
2015,H,Troll,0.6931506849315069,29,8,2,77
2016,A,Seine,1.6027397260273972,184,1,1,108
2016,B,Seine,2.5945205479452054,349,2,1,168
2016,C,Gillnet,12.117808219178082,958,3,3,630
2016,D,Gillnet,8.767123287671232,539,4,3,383
2016,E,Gillnet,5.35068493150685,496,5,3,388
2016,F,Troll,14.301369863013699,350,6,2,238
2016,G,Troll,6.835616438356165,207,7,2,117
2016,H,Troll,0.6767123287671233,20,8,2,77
2017,A,Seine,1.221917808219178,94,1,1,107
2017,B,Seine,1.3534246575342466,223,2,1,169
2017,C,Gillnet,7.3342465753424655,489,3,3,626
2017,D,Gillnet,5.810958904109589,475,4,3,385
2017,E,Gillnet,6.6876712328767125,532,5,3,389
2017,F,Troll,14.70958904109589,347,6,2,241
2017,G,Troll,5.493150684931507,155,7,2,113
2017,H,Troll,0.6712328767123287,24,8,2,78
2018,A,Seine,1.0547945205479452,95,1,1,107
2018,B,Seine,2.1424657534246574,223,2,1,169
2018,C,Gillnet,6.50958904109589,496,3,3,627
2018,D,Gillnet,16.44109589041096,589,4,3,385
2018,E,Gillnet,7.843835616438356,663,5,3,388
2018,F,Troll,11.432876712328767,276,6,2,233
2018,G,Troll,4.4520547945205475,172,7,2,111
2018,H,Troll,2.0657534246575344,76,8,2,78
2019,A,Seine,0.30684931506849317,66,1,1,107
2019,B,Seine,0.11232876712328767,10,2,1,168
2019,C,Gillnet,3.895890410958904,360,3,3,622
2019,D,Gillnet,2.117808219178082,232,4,3,373
2019,F,Troll,10.098630136986301,300,6,2,235
2019,G,Troll,1.7041095890410958,112,7,2,102
2020,A,Seine,0.8465753424657534,65,1,1,107
2020,B,Seine,0.5041095890410959,101,2,1,169
2020,C,Gillnet,1.7452054794520548,286,3,3,627
2020,D,Gillnet,3.2794520547945205,395,4,3,375
2020,E,Gillnet,1.5534246575342467,211,5,3,385
2020,F,Troll,7.736986301369862,255,6,2,217
2020,G,Troll,2.249315068493151,101,7,2,91
2020,H,Troll,0.3917808219178082,18,8,2,68
2021,A,Seine,0.19726027397260273,23,1,1,106
2021,B,Seine,0.13424657534246576,20,2,1,169
2021,C,Gillnet,0.4438356164383562,49,3,3,627
2021,D,Gillnet,2.5315068493150683,229,4,3,374
2021,F,Troll,7.523287671232876,208,6,2,217
2021,G,Troll,2.232876712328767,81,7,2,89
2021,H,Troll,0.0027397260273972603,1,8,2,68
2022,A,Seine,0.5095890410958904,31,1,1,106
2022,B,Seine,0.715068493150685,105,2,1,168
2022,C,Gillnet,5.153424657534246,182,3,3,623
2022,D,Gillnet,3.271232876712329,148,4,3,373
2022,E,Gillnet,0.44109589041095887,70,5,3,381
2022,F,Troll,6.391780821917808,173,6,2,217
2022,G,Troll,1.6273972602739726,82,7,2,89
2022,H,Troll,0.3890410958904109,29,8,2,68
2023,A,Seine,0.4547945205479452,48,1,1,NA
2023,B,Seine,0.3917808219178082,31,2,1,NA
2023,C,Gillnet,5.087671232876712,247,3,3,NA
2023,D,Gillnet,2.284931506849315,115,4,3,NA
2023,F,Troll,6.942465753424657,190,6,2,NA
2023,G,Troll,1.4904109589041095,88,7,2,NA
2023,H,Troll,0.0410958904109589,3,8,2,NA
