Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2014,Salmon,Wild commercial,"Other salmon products, wild",,,1.9
2014,Salmon,Wild commercial,Pink,6.7,4.6,24.8
2014,Salmon,Wild commercial,Sockeye,28.1,102.4,209.2
2013,Groundfish,Wild commercial,"Arrowtooth flounders, wild",8.3,1.8,5.3
2013,Groundfish,Wild commercial,"Dogfish, wild",0.4,0.2,0.5
2013,Groundfish,Wild commercial,"Hake, wild",54.1,16.6,52
2013,Groundfish,Wild commercial,"Halibut, wild",3.7,40.3,110.7
2013,Groundfish,Wild commercial,"Lingcod, wild",1.6,5.3,10.4
2013,Groundfish,Wild commercial,"Other groundfish, wild",1,1.4,25.3
2013,Groundfish,Wild commercial,"Pacific cod, wild",1.3,1.7,5.5
2013,Groundfish,Wild commercial,"Pollock, wild",3.4,1.1,3.9
2013,Groundfish,Wild commercial,"Rockfish, wild",17.5,22.9,40
2013,Groundfish,Wild commercial,"Sablefish, wild",2,15.4,25.8
2013,Groundfish,Wild commercial,"Soles, wild",4.6,5,11.8
2013,Herring,Wild commercial,"Herring food & bait, wild",7.1,2.3,8.7
2013,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.06,1.8,2
2013,Herring,Wild commercial,"Roe herring, wild",14,12.9,35
2013,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.2,7.1,11.2
2013,Invertebrates,Farmed,"Oysters, farmed",6.7,12.9,24.6
2013,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.4,2.6,4.6
2013,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1.2,3
2013,Invertebrates,Wild commercial,"Crabs, wild",3.5,36.2,64.2
2013,Invertebrates,Wild commercial,"Geoducks, wild",1.5,38.3,48.2
2013,Invertebrates,Wild commercial,"Other invertebrates, wild",0.3,0.5,3.9
2013,Invertebrates,Wild commercial,"Prawns, wild",1.7,35.3,53.2
2013,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,3.1
2013,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,6.4,7.4
2013,Invertebrates,Wild commercial,"Sea urchins green, wild",0.18,0.6,1.6
2013,Invertebrates,Wild commercial,"Sea urchins red, wild",3.4,4.4,12.9
2013,Invertebrates,Wild commercial,"Shrimp, wild",0.7,2.7,9
2013,Other seafood,Farmed,"Other, farmed",1.6,12.1,22.9
2013,Other seafood,Wild commercial,"Other, wild",5.4,24.7,63.2
2013,Salmon,Farmed,Atlantic,58.3,385.6,410.2
2013,Salmon,Farmed,Pacific,4.1,30.7,51.6
2013,Salmon,Wild commercial,Chinook,1.1,8.7,12.3
2013,Salmon,Wild commercial,Chum,8.6,11.2,28.5
2013,Salmon,Wild commercial,Coho,1.8,8.3,27.5
2013,Salmon,Wild commercial,"Other salmon products, wild",,,1.7
2013,Salmon,Wild commercial,Pink,19.5,13.7,39.2
2013,Salmon,Wild commercial,Sockeye,0.6,3.3,69.3
2012,Groundfish,Wild commercial,"Arrowtooth flounders, wild",5.2,1.4,4.8
2012,Groundfish,Wild commercial,"Dogfish, wild",0.9,0.5,2
2012,Groundfish,Wild commercial,"Hake, wild",46.9,16.5,48.6
2012,Groundfish,Wild commercial,"Halibut, wild",3.7,40.7,107.8
2012,Groundfish,Wild commercial,"Lingcod, wild",1.5,5.1,9
2012,Groundfish,Wild commercial,"Other groundfish, wild",1.1,1.5,17.5
2012,Groundfish,Wild commercial,"Pacific cod, wild",1.3,1.7,3.9
2012,Groundfish,Wild commercial,"Pollock, wild",5.1,2,6.8
2012,Groundfish,Wild commercial,"Rockfish, wild",16.6,22.4,44.6
2012,Groundfish,Wild commercial,"Sablefish, wild",2.3,25.7,26.4
2012,Groundfish,Wild commercial,"Soles, wild",4.9,5.9,11.5
2012,Herring,Wild commercial,"Herring food & bait, wild",4.4,1.3,4.9
2012,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.07,1.3,1.6
2012,Herring,Wild commercial,"Roe herring, wild",8.6,9.9,32
2012,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.3,6.5,10.3
2012,Invertebrates,Farmed,"Oysters, farmed",7.2,10.3,20.2
2012,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.4,2.2,4.1
2012,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1.1,3.7
2012,Invertebrates,Wild commercial,"Crabs, wild",3.4,31.1,62.7
2012,Invertebrates,Wild commercial,"Geoducks, wild",1.5,47.8,48.5
2012,Invertebrates,Wild commercial,"Other invertebrates, wild",0.3,0.6,4
2012,Invertebrates,Wild commercial,"Prawns, wild",1.8,33.3,53.9
2012,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,2.2
2012,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,5.8,8.6
2012,Invertebrates,Wild commercial,"Sea urchins green, wild",0.11,0.4,1.2
2012,Invertebrates,Wild commercial,"Sea urchins red, wild",3,3.9,11.5
2012,Invertebrates,Wild commercial,"Shrimp, wild",0.7,2.3,5.6
2012,Other seafood,Farmed,"Other, farmed",0.7,7.5,15.8
2012,Other seafood,Wild commercial,"Other, wild",22,16.1,62.2
2012,Salmon,Farmed,Atlantic,75.1,385.1,442.9
2012,Salmon,Farmed,Pacific,4.9,24,31.7
2012,Salmon,Wild commercial,Chinook,1.2,9.2,19
2012,Salmon,Wild commercial,Chum,6.3,8.2,38.1
2012,Salmon,Wild commercial,Coho,0.9,3.7,23.5
2012,Salmon,Wild commercial,"Other salmon products, wild",,,0.5
2012,Salmon,Wild commercial,Pink,1.2,0.9,13.2
2012,Salmon,Wild commercial,Sockeye,3.6,12.4,74.1
2011,Groundfish,Wild commercial,"Arrowtooth flounders, wild",5,1.1,3.2
2011,Groundfish,Wild commercial,"Dogfish, wild",1,0.7,1.4
2011,Groundfish,Wild commercial,"Hake, wild",55.4,16.3,50.5
2011,Groundfish,Wild commercial,"Halibut, wild",4.1,47.2,129.9
2011,Groundfish,Wild commercial,"Lingcod, wild",1.7,4.7,8.3
2011,Groundfish,Wild commercial,"Other groundfish, wild",1.4,1.8,16.7
2011,Groundfish,Wild commercial,"Pacific cod, wild",1.9,2.1,4.4
2011,Groundfish,Wild commercial,"Pollock, wild",4,1.1,6.1
2011,Groundfish,Wild commercial,"Rockfish, wild",18,22.7,45
2011,Groundfish,Wild commercial,"Sablefish, wild",2.1,26.3,34.3
2011,Groundfish,Wild commercial,"Soles, wild",5,5.5,12.8
2011,Herring,Wild commercial,"Herring food & bait, wild",4.1,1.3,3.1
2011,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.1,1,1.3
2011,Herring,Wild commercial,"Roe herring, wild",6.6,4,25.8
2011,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.3,7,10.6
2011,Invertebrates,Farmed,"Oysters, farmed",7.3,9.1,14.3
2011,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.5,3.2,4.3
2011,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.5,1,3.7
2011,Invertebrates,Wild commercial,"Crabs, wild",3.4,31.2,59.4
2011,Invertebrates,Wild commercial,"Geoducks, wild",1.6,40,45.6
2011,Invertebrates,Wild commercial,"Other invertebrates, wild",0.2,0.5,3
2011,Invertebrates,Wild commercial,"Prawns, wild",2.8,46.4,69.7
2011,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,1.6
2011,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,5.5,10.8
2011,Invertebrates,Wild commercial,"Sea urchins green, wild",0.06,0.2,0.7
2011,Invertebrates,Wild commercial,"Sea urchins red, wild",2.5,3.2,7.5
2011,Invertebrates,Wild commercial,"Shrimp, wild",0.6,2.1,4.8
2011,Other seafood,Farmed,"Other, farmed",1.2,10.5,16.6
2011,Other seafood,Wild commercial,"Other, wild",26.4,33.9,75.8
2011,Salmon,Farmed,Atlantic,79.4,408.9,457.6
2011,Salmon,Farmed,Pacific,3.8,26.8,49.4
2011,Salmon,Wild commercial,Chinook,1.5,11,21.4
2011,Salmon,Wild commercial,Chum,5.8,10.7,31.8
2011,Salmon,Wild commercial,Coho,1.2,4.9,24.5
2011,Salmon,Wild commercial,"Other salmon products, wild",,,0.6
2011,Salmon,Wild commercial,Pink,9.1,8.7,37.6
2011,Salmon,Wild commercial,Sockeye,3.1,12.7,105.7
2010,Groundfish,Wild commercial,"Arrowtooth flounders, wild",3.4,1.5,2.5
2010,Groundfish,Wild commercial,"Dogfish, wild",1.9,1,3.9
2010,Groundfish,Wild commercial,"Hake, wild",55.6,16.9,52.2
2010,Groundfish,Wild commercial,"Halibut, wild",4.1,37.5,121.9
2010,Groundfish,Wild commercial,"Lingcod, wild",1.6,3.7,8.3
2010,Groundfish,Wild commercial,"Other groundfish, wild",1.1,1.2,14.4
2010,Groundfish,Wild commercial,"Pacific cod, wild",2,2.5,3.8
2010,Groundfish,Wild commercial,"Pollock, wild",3.7,1.2,3.7
2010,Groundfish,Wild commercial,"Rockfish, wild",17.9,20,36
2010,Groundfish,Wild commercial,"Sablefish, wild",2.4,22.5,26
2010,Groundfish,Wild commercial,"Soles, wild",3.9,3.5,8.9
2010,Herring,Wild commercial,"Herring food & bait, wild",0.8,0.5,3.2
2010,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.11,0.8,1.1
2010,Herring,Wild commercial,"Roe herring, wild",9.3,10.6,38.7
2010,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.5,8.1,10.3
2010,Invertebrates,Farmed,"Oysters, farmed",7.6,9,14.5
2010,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",1,4.9,5.1
2010,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.9,2,3.9
2010,Invertebrates,Wild commercial,"Crabs, wild",5.2,36.8,76.1
2010,Invertebrates,Wild commercial,"Geoducks, wild",1.6,40.9,51.8
2010,Invertebrates,Wild commercial,"Other invertebrates, wild",0.3,0.5,3
2010,Invertebrates,Wild commercial,"Prawns, wild",2.2,22.9,37.9
2010,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,0.2
2010,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.5,4.4,6.4
2010,Invertebrates,Wild commercial,"Sea urchins green, wild",0.11,0.4,0.8
2010,Invertebrates,Wild commercial,"Sea urchins red, wild",2.2,2.8,8.2
2010,Invertebrates,Wild commercial,"Shrimp, wild",0.5,1.8,4.3
2010,Other seafood,Farmed,"Other, farmed",2.8,16.9,18.7
2010,Other seafood,Wild commercial,"Other, wild",29,28.1,74.5
2010,Salmon,Farmed,Atlantic,74.5,470.3,502.8
2010,Salmon,Farmed,Pacific,4.2,29.4,47.6
2010,Salmon,Wild commercial,Chinook,1.2,9.6,18.5
2010,Salmon,Wild commercial,Chum,0.5,0.9,9.7
2010,Salmon,Wild commercial,Coho,0.6,2.6,20.5
2010,Salmon,Wild commercial,"Other salmon products, wild",,,1
2010,Salmon,Wild commercial,Pink,1.3,0.7,16.8
2010,Salmon,Wild commercial,Sockeye,20,56.8,174.4
2009,Groundfish,Wild commercial,"Arrowtooth flounders, wild",3.9,1.5,3
2009,Groundfish,Wild commercial,"Dogfish, wild",4.3,2,7.7
2009,Groundfish,Wild commercial,"Hake, wild",56.2,14.2,51.4
2009,Groundfish,Wild commercial,"Halibut, wild",4.1,31.5,133.1
2009,Groundfish,Wild commercial,"Lingcod, wild",2.1,4.5,8.9
2009,Groundfish,Wild commercial,"Other groundfish, wild",0.9,1.5,12.7
2009,Groundfish,Wild commercial,"Pacific cod, wild",1,1.5,3.2
2009,Groundfish,Wild commercial,"Pollock, wild",3.4,2,5.6
2009,Groundfish,Wild commercial,"Rockfish, wild",18.1,22.5,37.2
2009,Groundfish,Wild commercial,"Sablefish, wild",2.6,24,29.9
2009,Groundfish,Wild commercial,"Soles, wild",4.2,3.5,8.6
2009,Herring,Wild commercial,"Herring food & bait, wild",0.6,0.5,3.2
2009,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.13,1.6,2.2
2009,Herring,Wild commercial,"Roe herring, wild",11.6,15.5,59.9
2009,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.4,7.4,12.6
2009,Invertebrates,Farmed,"Oysters, farmed",5.7,7,14
2009,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.7,3.1,3.7
2009,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.8,2,2.9
2009,Invertebrates,Wild commercial,"Crabs, wild",5.6,32.2,56.3
2009,Invertebrates,Wild commercial,"Geoducks, wild",1.6,31.8,42.7
2009,Invertebrates,Wild commercial,"Other invertebrates, wild",0.1,0.4,2.6
2009,Invertebrates,Wild commercial,"Prawns, wild",3.4,33,50.6
2009,Invertebrates,Wild commercial,"Scallops, wild",0.02,0.2,0.3
2009,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.5,3,6.3
2009,Invertebrates,Wild commercial,"Sea urchins green, wild",0.11,0.4,1.2
2009,Invertebrates,Wild commercial,"Sea urchins red, wild",2.1,2.6,8.5
2009,Invertebrates,Wild commercial,"Shrimp, wild",0.7,1.3,4.9
2009,Other seafood,Farmed,"Other, farmed",2,11.1,12.3
2009,Other seafood,Wild commercial,"Other, wild",21.3,20.2,49.6
2009,Salmon,Farmed,Atlantic,72.7,370.5,461
2009,Salmon,Farmed,Pacific,3.6,23.7,32.5
2009,Salmon,Wild commercial,Chinook,0.9,7.1,16.1
2009,Salmon,Wild commercial,Chum,2.7,4.3,21.3
2009,Salmon,Wild commercial,Coho,0.8,3,23.9
2009,Salmon,Wild commercial,"Other salmon products, wild",,,1.2
2009,Salmon,Wild commercial,Pink,13.4,6.7,41.8
2009,Salmon,Wild commercial,Sockeye,0.7,2.6,39.2
2008,Groundfish,Wild commercial,"Arrowtooth flounders, wild",5,2,3.5
2008,Groundfish,Wild commercial,"Dogfish, wild",2.2,1,4.6
2008,Groundfish,Wild commercial,"Hake, wild",73.8,25.8,83.1
2008,Groundfish,Wild commercial,"Halibut, wild",4.8,38.5,124.4
2008,Groundfish,Wild commercial,"Lingcod, wild",2.3,5,10.7
2008,Groundfish,Wild commercial,"Other groundfish, wild",1,1.5,14.6
2008,Groundfish,Wild commercial,"Pacific cod, wild",0.4,1,2.5
2008,Groundfish,Wild commercial,"Pollock, wild",1.3,1,2.4
2008,Groundfish,Wild commercial,"Rockfish, wild",17.7,21,35.1
2008,Groundfish,Wild commercial,"Sablefish, wild",3.1,23,31.5
2008,Groundfish,Wild commercial,"Soles, wild",4.2,4,9.3
2008,Herring,Wild commercial,"Herring food & bait, wild",0.8,0.7,3
2008,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.14,3.6,4.2
2008,Herring,Wild commercial,"Roe herring, wild",10.5,11.7,41.1
2008,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.3,7.2,9.9
2008,Invertebrates,Farmed,"Oysters, farmed",5.6,6.5,13.2
2008,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.6,2.5,5.2
2008,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.8,2.1,3
2008,Invertebrates,Wild commercial,"Crabs, wild",6.9,37.4,60.1
2008,Invertebrates,Wild commercial,"Geoducks, wild",1.6,25.8,33.6
2008,Invertebrates,Wild commercial,"Other invertebrates, wild",0.2,0.3,2.5
2008,Invertebrates,Wild commercial,"Prawns, wild",2.4,26.3,37.3
2008,Invertebrates,Wild commercial,"Scallops, wild",0.03,0.2,0.3
2008,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.5,2.9,4.7
2008,Invertebrates,Wild commercial,"Sea urchins green, wild",0.07,0.2,0.8
2008,Invertebrates,Wild commercial,"Sea urchins red, wild",1.9,2.4,7.9
2008,Invertebrates,Wild commercial,"Shrimp, wild",0.7,1.9,6.8
2008,Other seafood,Farmed,"Other, farmed",2.5,9,9.8
2008,Other seafood,Wild commercial,"Other, wild",16.2,22.6,51.2
2008,Salmon,Farmed,Atlantic,77.24,381.8,455.5
2008,Salmon,Farmed,Pacific,4.2,27.5,39.7
2008,Salmon,Wild commercial,Chinook,1,9,18.4
2008,Salmon,Wild commercial,Chum,1.7,3,18.7
2008,Salmon,Wild commercial,Coho,0.4,1.9,21.3
2008,Salmon,Wild commercial,"Other salmon products, wild",,,0.9
2008,Salmon,Wild commercial,Pink,0.4,0.2,13.3
2008,Salmon,Wild commercial,Sockeye,1.9,7.7,65.5
2007,Groundfish,Wild commercial,"Arrowtooth flounders, wild",4.5,1.5,3
2007,Groundfish,Wild commercial,"Dogfish, wild",4.1,2,6.6
2007,Groundfish,Wild commercial,"Hake, wild",73.2,22.5,60.3
2007,Groundfish,Wild commercial,"Halibut, wild",6,49.5,163.2
2007,Groundfish,Wild commercial,"Lingcod, wild",2.5,5.5,11.1
2007,Groundfish,Wild commercial,"Other groundfish, wild",1.2,1.5,10.9
2007,Groundfish,Wild commercial,"Pacific cod, wild",0.5,1,2.3
2007,Groundfish,Wild commercial,"Pollock, wild",3.2,2,4.3
2007,Groundfish,Wild commercial,"Rockfish, wild",19.1,22.5,36.3
2007,Groundfish,Wild commercial,"Sablefish, wild",3.6,23.5,29
2007,Groundfish,Wild commercial,"Soles, wild",4.4,4,11
2007,Herring,Wild commercial,"Herring food & bait, wild",1.1,0.9,4
2007,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.21,6.5,7.1
2007,Herring,Wild commercial,"Roe herring, wild",10.5,12.8,46
2007,Invertebrates,Farmed,"Clams, farmed",1.7,9.3,10.2
2007,Invertebrates,Farmed,"Oysters, farmed",7.5,8.6,17.2
2007,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.7,3.4,5.4
2007,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.9,2.6,2.8
2007,Invertebrates,Wild commercial,"Crabs, wild",6.9,38.9,53.4
2007,Invertebrates,Wild commercial,"Geoducks, wild",1.6,31,38.7
2007,Invertebrates,Wild commercial,"Other invertebrates, wild",0.2,0.4,1.2
2007,Invertebrates,Wild commercial,"Prawns, wild",2.8,28.7,37.9
2007,Invertebrates,Wild commercial,"Scallops, wild",0.03,0.2,0.5
2007,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.5,2.5,3.8
2007,Invertebrates,Wild commercial,"Sea urchins green, wild",0.06,0.2,1
2007,Invertebrates,Wild commercial,"Sea urchins red, wild",2.1,2.9,7.2
2007,Invertebrates,Wild commercial,"Shrimp, wild",0.8,2.8,9.1
2007,Other seafood,Farmed,"Other, farmed",1.1,5,5.6
2007,Other seafood,Wild commercial,"Other, wild",8.7,19.3,32.9
2007,Salmon,Farmed,Atlantic,73.33,352.14,420.2
2007,Salmon,Farmed,Pacific,5.55,31.96,49.1
2007,Salmon,Wild commercial,Chinook,1.4,10.5,23.8
2007,Salmon,Wild commercial,Chum,4.9,6.6,30.2
2007,Salmon,Wild commercial,Coho,0.8,2.6,19.9
2007,Salmon,Wild commercial,"Other salmon products, wild",,,0.8
2007,Salmon,Wild commercial,Pink,11.2,5.2,43.3
2007,Salmon,Wild commercial,Sockeye,1.9,6.7,64.1
2006,Groundfish,Wild commercial,"Arrowtooth flounders, wild",5.9,1.5,2.2
2006,Groundfish,Wild commercial,"Dogfish, wild",2.4,2.9,6.6
2006,Groundfish,Wild commercial,"Hake, wild",96.8,29.8,69.7
2006,Groundfish,Wild commercial,"Halibut, wild",7.2,51.8,124.9
2006,Groundfish,Wild commercial,"Lingcod, wild",2.5,5,10
2006,Groundfish,Wild commercial,"Other groundfish, wild",1.6,1.5,16.2
2006,Groundfish,Wild commercial,"Pacific cod, wild",1,1.5,3.1
2006,Groundfish,Wild commercial,"Pollock, wild",3.1,1.5,2.8
2006,Groundfish,Wild commercial,"Rockfish, wild",18.7,22,35.3
2006,Groundfish,Wild commercial,"Sablefish, wild",3.9,27,33.1
2006,Groundfish,Wild commercial,"Soles, wild",5.4,5,11.2
2006,Herring,Wild commercial,"Herring food & bait, wild",0.9,0.5,3.5
2006,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.31,4.3,5.2
2006,Herring,Wild commercial,"Roe herring, wild",22.3,13.5,51.2
2006,Invertebrates,Farmed,"Clams, farmed",1.7,8.9,11.3
2006,Invertebrates,Farmed,"Oysters, farmed",8.2,8.6,18.1
2006,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.3,1.5,4.3
2006,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",1.1,3.3,4.2
2006,Invertebrates,Wild commercial,"Crabs, wild",4.3,23.9,43.1
2006,Invertebrates,Wild commercial,"Geoducks, wild",1.6,32.2,38.9
2006,Invertebrates,Wild commercial,"Other invertebrates, wild",0.1,0.3,0.5
2006,Invertebrates,Wild commercial,"Prawns, wild",2.4,41.1,45.2
2006,Invertebrates,Wild commercial,"Scallops, wild",0.02,0.1,0.6
2006,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.5,2.6,4.7
2006,Invertebrates,Wild commercial,"Sea urchins green, wild",0.03,0.1,0.3
2006,Invertebrates,Wild commercial,"Sea urchins red, wild",3.1,4.2,9.9
2006,Invertebrates,Wild commercial,"Shrimp, wild",0.9,3,8
2006,Other seafood,Farmed,"Other, farmed",0.8,3.8,5.2
2006,Other seafood,Wild commercial,"Other, wild",7.9,18.4,38.9
2006,Salmon,Farmed,Atlantic,70.98,370.13,398.6
2006,Salmon,Farmed,Pacific,7,37.27,51.8
2006,Salmon,Wild commercial,Chinook,2,14.4,29.2
2006,Salmon,Wild commercial,Chum,9.9,10.3,51.1
2006,Salmon,Wild commercial,Coho,0.6,2.4,21.6
2006,Salmon,Wild commercial,"Other salmon products, wild",,,1.3
2006,Salmon,Wild commercial,Pink,1.4,0.5,8.5
2006,Salmon,Wild commercial,Sockeye,10.4,33.3,114
2005,Groundfish,Wild commercial,"Arrowtooth flounders, wild",16.5,3.5,6.1
2005,Groundfish,Wild commercial,"Dogfish, wild",5.4,2.9,9.4
2005,Groundfish,Wild commercial,"Hake, wild",104.2,28.4,58.4
2005,Groundfish,Wild commercial,"Halibut, wild",7.4,50.5,97
2005,Groundfish,Wild commercial,"Lingcod, wild",2.8,5.1,9.8
2005,Groundfish,Wild commercial,"Other groundfish, wild",2.2,2.2,16.6
2005,Groundfish,Wild commercial,"Pacific cod, wild",1.5,2,4.9
2005,Groundfish,Wild commercial,"Pollock, wild",1.9,0.9,2.2
2005,Groundfish,Wild commercial,"Rockfish, wild",18.2,23.8,39.1
2005,Groundfish,Wild commercial,"Sablefish, wild",4.6,31.6,37.1
2005,Groundfish,Wild commercial,"Soles, wild",5.9,5.8,12.2
2005,Herring,Wild commercial,"Herring food & bait, wild",1.4,0.9,3
2005,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.31,3.2,4.1
2005,Herring,Wild commercial,"Roe herring, wild",29.1,28.4,82
2005,Invertebrates,Farmed,"Clams, farmed",1.9,8.5,11.4
2005,Invertebrates,Farmed,"Oysters, farmed",8,8.4,15.4
2005,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.2,1,3.4
2005,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",1.4,3.9,5.2
2005,Invertebrates,Wild commercial,"Crabs, wild",5.7,29.7,57.4
2005,Invertebrates,Wild commercial,"Geoducks, wild",1.6,32.7,36.9
2005,Invertebrates,Wild commercial,"Other invertebrates, wild",0.4,0.6,2
2005,Invertebrates,Wild commercial,"Prawns, wild",2.2,45.6,47.5
2005,Invertebrates,Wild commercial,"Scallops, wild",0.02,0.1,0.2
